source,target,url
"With Cu, Ag, Fe, Sn and Pb",Gladite,http://www.mindat.org/min-1705.html
"With Cu, Ag, Fe, Sn and Pb",Hammarite,http://www.mindat.org/min-1812.html
"With Cu, Ag, Fe, Sn and Pb",Jaskolskiite,http://www.mindat.org/min-2079.html
"With Cu, Ag, Fe, Sn and Pb",Krupkaite,http://www.mindat.org/min-2278.html
"With Cu, Ag, Fe, Sn and Pb",Lindstromite,http://www.mindat.org/min-2408.html
"With Cu, Ag, Fe, Sn and Pb",Meneghinite,http://www.mindat.org/min-2644.html
"With Cu, Ag, Fe, Sn and Pb",Pekoite,http://www.mindat.org/min-3144.html
"With Cu, Ag, Fe, Sn and Pb",Emilite,http://www.mindat.org/min-5287.html
"With Cu, Ag, Fe, Sn and Pb",UM2000-460S:BiCuPb,http://www.mindat.org/min-7679.html
"With Cu, Ag, Fe, Sn and Pb",Salzburgite,http://www.mindat.org/min-7680.html
"With Cu, Ag, Fe, Sn and Pb",UM1990-54-Se:BiCuPb,http://www.mindat.org/min-10298.html
"With Cu, Ag, Fe, Sn and Pb",Paarite,http://www.mindat.org/min-26454.html
"With Cu, Ag, Fe, Sn and Pb",Eclarite,http://www.mindat.org/min-1349.html
"With Cu, Ag, Fe, Sn and Pb",Giessenite,http://www.mindat.org/min-1690.html
"With Cu, Ag, Fe, Sn and Pb",Izoklakeite,http://www.mindat.org/min-2060.html
"With Cu, Ag, Fe, Sn and Pb",Kobellite,http://www.mindat.org/min-2233.html
"With Cu, Ag, Fe, Sn and Pb",Tintinaite,http://www.mindat.org/min-3971.html
"With Cu, Ag, Fe, Sn and Pb",Benavidesite,http://www.mindat.org/min-623.html
"With Cu, Ag, Fe, Sn and Pb",Jamesonite,http://www.mindat.org/min-2072.html
"With Cu, Ag, Fe, Sn and Pb",Berryite,http://www.mindat.org/min-638.html
"With Cu, Ag, Fe, Sn and Pb",Buckhornite,http://www.mindat.org/min-795.html
"With Cu, Ag, Fe, Sn and Pb",Nagyagite,http://www.mindat.org/min-2830.html
"With Cu, Ag, Fe, Sn and Pb",Watkinsonite,http://www.mindat.org/min-4247.html
"With Cu, Ag, Fe, Sn and Pb",Museumite,http://www.mindat.org/min-26575.html
"With Cu, Ag, Fe, Sn and Pb",Litochlebite,http://www.mindat.org/min-39637.html
Sulfosalts of SnS archetype,With Tl,http://www.mindat.org/strunz.php?a=2&b=H&c=D
With Tl,Lorandite,http://www.mindat.org/min-2434.html
With Tl,Weissbergite,http://www.mindat.org/min-4262.html
With Tl,Christite,http://www.mindat.org/min-1029.html
With Tl,Jankovicite,http://www.mindat.org/min-2075.html
With Tl,Rebulite,http://www.mindat.org/min-3376.html
With Tl,Imhofite,http://www.mindat.org/min-2019.html
With Tl,Edenharterite,http://www.mindat.org/min-1350.html
With Tl,Jentschite,http://www.mindat.org/min-5745.html
With Tl,Hutchinsonite,http://www.mindat.org/min-1954.html
With Tl,Bernardite,http://www.mindat.org/min-636.html
With Tl,Sicherite,http://www.mindat.org/min-11028.html
With Tl,Gabrielite,http://www.mindat.org/min-26386.html
Sulfosalts of SnS archetype,"With alkalies, H2O",http://www.mindat.org/strunz.php?a=2&b=H&c=E
"With alkalies, H2O",Gerstleyite,http://www.mindat.org/min-1684.html
"With alkalies, H2O",Ambrinoite,http://www.mindat.org/min-39789.html
Sulfosalts of SnS archetype,With SnS and PbS archetype structure units,http://www.mindat.org/strunz.php?a=2&b=H&c=F
With SnS and PbS archetype structure units,Vrbaite,http://www.mindat.org/min-4211.html
With SnS and PbS archetype structure units,Cylindrite,http://www.mindat.org/min-1204.html
With SnS and PbS archetype structure units,Franckeite,http://www.mindat.org/min-1592.html
With SnS and PbS archetype structure units,Incaite,http://www.mindat.org/min-2023.html
With SnS and PbS archetype structure units,Levyclaudite,http://www.mindat.org/min-2387.html
With SnS and PbS archetype structure units,Potosiite,http://www.mindat.org/min-3269.html
With SnS and PbS archetype structure units,Coiraite,http://www.mindat.org/min-27610.html
With SnS and PbS archetype structure units,Abramovite,http://www.mindat.org/min-29261.html
With SnS and PbS archetype structure units,Lengenbachite,http://www.mindat.org/min-2373.html
Sulfides and Sulfosalts,Sulfosalts of PbS archetype,http://www.mindat.org/strunz.php?a=2&b=J
Sulfosalts of PbS archetype,Galena derivatives with little or no Pb,http://www.mindat.org/strunz.php?a=2&b=J&c=A
Galena derivatives with little or no Pb,Benjaminite,http://www.mindat.org/min-625.html
Galena derivatives with little or no Pb,Borodaevite,http://www.mindat.org/min-728.html
Galena derivatives with little or no Pb,Cupropavonite,http://www.mindat.org/min-1187.html
Galena derivatives with little or no Pb,Kitaibelite,http://www.mindat.org/min-2218.html
Galena derivatives with little or no Pb,Livingstonie,http://www.mindat.org/min-2424.html
Galena derivatives with little or no Pb,Makovickyite,http://www.mindat.org/min-2549.html
Galena derivatives with little or no Pb,Mummeite,http://www.mindat.org/min-2807.html
Galena derivatives with little or no Pb,Pavonite,http://www.mindat.org/min-3136.html
Galena derivatives with little or no Pb,Grumiplucite,http://www.mindat.org/min-6981.html
Galena derivatives with little or no Pb,Mozgovaite,http://www.mindat.org/min-7066.html
Galena derivatives with little or no Pb,Cupromakovickyite,http://www.mindat.org/min-26457.html
Galena derivatives with little or no Pb,Kudriavite,http://www.mindat.org/min-26708.html
Galena derivatives with little or no Pb,Cupromakopavonite,http://www.mindat.org/min-28892.html
Galena derivatives with little or no Pb,Dantopaite,http://www.mindat.org/min-39325.html
Galena derivatives with little or no Pb,Cuprobismutite,http://www.mindat.org/min-1177.html
Galena derivatives with little or no Pb,Hodrusite,http://www.mindat.org/min-1914.html
Galena derivatives with little or no Pb,Paderaite,http://www.mindat.org/min-3059.html
Galena derivatives with little or no Pb,Pizgrischite,http://www.mindat.org/min-11109.html
Galena derivatives with little or no Pb,Kupcikite,http://www.mindat.org/min-26458.html
Galena derivatives with little or no Pb,Schapbachite,http://www.mindat.org/min-3558.html
Galena derivatives with little or no Pb,Cuboargyrite,http://www.mindat.org/min-6893.html
Galena derivatives with little or no Pb,Bohdanowiczite,http://www.mindat.org/min-706.html
"Galena derivatives with little or no Pb	",Matildite,http://www.mindat.org/min-2592.html
Galena derivatives with little or no Pb,Volynskite,http://www.mindat.org/min-4205.html
Sulfosalts of PbS archetype,Galena derivatives with Pb,http://www.mindat.org/strunz.php?a=2&b=J&c=B
"Galena derivatives, with Pb",Diaphorite,http://www.mindat.org/min-1284.html
"Galena derivatives, with Pb",Cosalite,http://www.mindat.org/min-1139.html
