source,target
"With Cu, etc., without Pb",Kapellasite
"With Cu, etc., without Pb",Gillardite
"With Cu, etc., without Pb",Haydeeite
"With Cu, etc., without Pb",Anatacamite
"With Cu, etc., without Pb",Claringbullite
"With Cu, etc., without Pb",Barlowite
"With Cu, etc., without Pb",Simonkolleite
"With Cu, etc., without Pb",Buttgenbachite
"With Cu, etc., without Pb",Connellite
"With Cu, etc., without Pb",Abhurite
"With Cu, etc., without Pb",Ponomarevite
"With Cu, etc., without Pb",Anthonyite
"With Cu, etc., without Pb",Calumetite
"With Cu, etc., without Pb",Khaidarkanite
"With Cu, etc., without Pb",Bobkingite
"With Cu, etc., without Pb",Avdoninite
"With Cu, etc., without Pb",Droninoite
"Oxyhalides, hydroxyhalides and related double halides","With Pb, Cu, etc."
"With Pb, Cu, etc.",Rickturnerite
"With Pb, Cu, etc.",Diaboleite
"With Pb, Cu, etc.",Pseudoboleite
"With Pb, Cu, etc.",Boleite
"With Pb, Cu, etc.",Cumengeite
"With Pb, Cu, etc.",Bideauxite
"With Pb, Cu, etc.",Chloroxiphite
"With Pb, Cu, etc.",Hematophanite
"With Pb, Cu, etc.",Asisite
"With Pb, Cu, etc.",Parkinsonite
"With Pb, Cu, etc.",Murdochite
"With Pb, Cu, etc.",Yedlinite
"Oxyhalides, hydroxyhalides and related double halides","With Pb (As,Sb,Bi), without Cu"
"With Pb (As,Sb,Bi), without Cu",Laurionite
"With Pb (As,Sb,Bi), without Cu",Paralaurionite
"With Pb (As,Sb,Bi), without Cu",Fiedlerite
"With Pb (As,Sb,Bi), without Cu",Penfieldite
"With Pb (As,Sb,Bi), without Cu",Laurelite
"With Pb (As,Sb,Bi), without Cu",Bismoclite
"With Pb (As,Sb,Bi), without Cu",Daubr€eite
"With Pb (As,Sb,Bi), without Cu",Matlockite
"With Pb (As,Sb,Bi), without Cu",Rorisite
"With Pb (As,Sb,Bi), without Cu",Zavaritskite
"With Pb (As,Sb,Bi), without Cu",Zhangpeishanite
"With Pb (As,Sb,Bi), without Cu",Nadorite
"With Pb (As,Sb,Bi), without Cu",Perite
"With Pb (As,Sb,Bi), without Cu",Aravaipaite
"With Pb (As,Sb,Bi), without Cu",Calcioaravaipaite
"With Pb (As,Sb,Bi), without Cu",Thorikosite
"With Pb (As,Sb,Bi), without Cu",Mereheadite
"With Pb (As,Sb,Bi), without Cu",Blixite
"With Pb (As,Sb,Bi), without Cu",Pinalite
"With Pb (As,Sb,Bi), without Cu",Symesite
"With Pb (As,Sb,Bi), without Cu",Ecdemite
"With Pb (As,Sb,Bi), without Cu",Heliophyllite
"With Pb (As,Sb,Bi), without Cu",Mendipite
"With Pb (As,Sb,Bi), without Cu",Damaraite
"With Pb (As,Sb,Bi), without Cu",Onoratoite
"With Pb (As,Sb,Bi), without Cu",Cotunnite
"With Pb (As,Sb,Bi), without Cu",Pseudocotunnite
"With Pb (As,Sb,Bi), without Cu",Barstowite
"Oxyhalides, hydroxyhalides and related double halides",With Hg
With Hg,Eglestonite
With Hg,Kadyrelite
With Hg,Poyarkovite
With Hg,Hanawaltite
With Hg,Terlinguaite
With Hg,Pinchite
With Hg,Gianellaite
With Hg,Mosesite
With Hg,Kleinite
With Hg,Tedhadleyite
With Hg,Vasilyevite
With Hg,Aurivilliusite
With Hg,Terlinguacreekite
With Hg,Kelyanite
With Hg,Comancheite
"Oxyhalides, hydroxyhalides and related double halides",With Rare-Earth Elements
With Rare-Earth Elements,H†leniusite-(La)
