source,target,url
"Selenites with additional anions, without H2O",Allochalcoselite,http://www.mindat.org/min-27596.html
"Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates","Selenites without additional anions, with H2O",http://www.mindat.org/strunz.php?a=4&b=J&c=H
"Selenites without additional anions, with H2O",Chalcomenite,http://www.mindat.org/min-949.html
"Selenites without additional anions, with H2O",Ahlfeldite,http://www.mindat.org/min-61.html
"Selenites without additional anions, with H2O",Clinochalcomenite,http://www.mindat.org/min-1068.html
"Selenites without additional anions, with H2O",Cobaltomenite,http://www.mindat.org/min-1092.html
"Selenites without additional anions, with H2O",Mandarinoite,http://www.mindat.org/min-2561.html
"Selenites without additional anions, with H2O",Orlandiite,http://www.mindat.org/min-7056.html
"Selenites without additional anions, with H2O",UM1999-29-SeO:ClCuHPb,http://www.mindat.org/min-7743.html
"Selenites without additional anions, with H2O",Larisaite,http://www.mindat.org/min-26392.html
"Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates","Selenites with additional anions, with H2O",http://www.mindat.org/strunz.php?a=4&b=J&c=J
"Selenites with additional anions, with H2O",Marthozite,http://www.mindat.org/min-2582.html
"Selenites with additional anions, with H2O",Guilleminite,http://www.mindat.org/min-1771.html
"Selenites with additional anions, with H2O",Piretite,http://www.mindat.org/min-7238.html
"Selenites with additional anions, with H2O",Demesmaekerite,http://www.mindat.org/min-1259.html
"Selenites with additional anions, with H2O",Haynesite,http://www.mindat.org/min-1838.html
"Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates","Tellurites without additional anions, without H2O",http://www.mindat.org/strunz.php?a=4&b=J&c=K
"Tellurites without additional anions, without H2O",Winstanleyite,http://www.mindat.org/min-4297.html
"Tellurites without additional anions, without H2O",Walfordite,http://www.mindat.org/min-7360.html
"Tellurites without additional anions, without H2O",Spiroffite,http://www.mindat.org/min-3731.html
"Tellurites without additional anions, without H2O",Zincospiroffite,http://www.mindat.org/min-25709.html
"Tellurites without additional anions, without H2O",Balyakinite,http://www.mindat.org/min-501.html
"Tellurites without additional anions, without H2O",Rajite,http://www.mindat.org/min-3353.html
"Tellurites without additional anions, without H2O",Carlfriesite,http://www.mindat.org/min-899.html
"Tellurites without additional anions, without H2O",Denningite,http://www.mindat.org/min-1262.html
"Tellurites without additional anions, without H2O",Chekhovichite,http://www.mindat.org/min-984.html
"Tellurites without additional anions, without H2O",Smirnite,http://www.mindat.org/min-3686.html
"Tellurites without additional anions, without H2O",Choloalite,http://www.mindat.org/min-1026.html
"Tellurites without additional anions, without H2O",Fairbankite,http://www.mindat.org/min-1439.html
"Tellurites without additional anions, without H2O",Plumbotellurite,http://www.mindat.org/min-3227.html
"Tellurites without additional anions, without H2O",Magnolite,http://www.mindat.org/min-2542.html
"Tellurites without additional anions, without H2O",Moctezumite,http://www.mindat.org/min-2737.html
"Tellurites without additional anions, without H2O",Schmitterite,http://www.mindat.org/min-3570.html
"Tellurites without additional anions, without H2O",Cliffordite,http://www.mindat.org/min-1064.html
"Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates","Tellurites with additional anions, without H2O",http://www.mindat.org/strunz.php?a=4&b=J&c=L
"Tellurites with additional anions, without H2O",Rodalquilarite,http://www.mindat.org/min-3435.html
