source,target,url
Sulfides and Sulfosalts,"Metal Sulfides, M: S = 1: 1 (and similar)",http://www.mindat.org/strunz.php?a=2&b=C
"Metal Sulfides, M: S = 1: 1 (and similar)",With Cu,http://www.mindat.org/strunz.php?a=2&b=C&c=A
With Cu,Covellite,http://www.mindat.org/min-1144.html
With Cu,Klockmannite,http://www.mindat.org/min-2226.html
With Cu,Spionkopite,http://www.mindat.org/min-3730.html
With Cu,Yarrowite,http://www.mindat.org/min-4354.html
With Cu,Nukundamite,http://www.mindat.org/min-2942.html
With Cu,Calvertite,http://www.mindat.org/min-30904.html
"Metal Sulfides, M: S = 1: 1 (and similar)","With Zn, Fe, Cu, Ag, etc.",http://www.mindat.org/strunz.php?a=2&b=C&c=B
"With Zn, Fe, Cu, Ag, etc.",Coloradoite,http://www.mindat.org/min-1110.html
"With Zn, Fe, Cu, Ag, etc.",Hawleyite,http://www.mindat.org/min-1834.html
"With Zn, Fe, Cu, Ag, etc.",Metacinnabar,http://www.mindat.org/min-2670.html
"With Zn, Fe, Cu, Ag, etc.",Polhemusite,http://www.mindat.org/min-3253.html
"With Zn, Fe, Cu, Ag, etc.",Sakuraiite,http://www.mindat.org/min-3506.html
"With Zn, Fe, Cu, Ag, etc.",Sphalerite,http://www.mindat.org/min-3727.html
"With Zn, Fe, Cu, Ag, etc.",Stilleite,http://www.mindat.org/min-3786.html
"With Zn, Fe, Cu, Ag, etc.",Tiemannite,http://www.mindat.org/min-3957.html
"With Zn, Fe, Cu, Ag, etc.",UM1998-15-S:CuFeZn,http://www.mindat.org/min-8008.html
"With Zn, Fe, Cu, Ag, etc.",Rudashevskyite,http://www.mindat.org/min-27575.html
"With Zn, Fe, Cu, Ag, etc.",Chalcopyrite,http://www.mindat.org/min-955.html
"With Zn, Fe, Cu, Ag, etc.",Eskebornite,http://www.mindat.org/min-1409.html
"With Zn, Fe, Cu, Ag, etc.",Gallite,http://www.mindat.org/min-1644.html
"With Zn, Fe, Cu, Ag, etc.",Haycockite,http://www.mindat.org/min-1837.html
"With Zn, Fe, Cu, Ag, etc.",Lenaite,http://www.mindat.org/min-2372.html
"With Zn, Fe, Cu, Ag, etc.",Mooihoekite,http://www.mindat.org/min-2772.html
"With Zn, Fe, Cu, Ag, etc.",Putoranite,http://www.mindat.org/min-3312.html
"With Zn, Fe, Cu, Ag, etc.",Roquesite,http://www.mindat.org/min-3445.html
"With Zn, Fe, Cu, Ag, etc.",Talnakhite,http://www.mindat.org/min-3877.html
"With Zn, Fe, Cu, Ag, etc.",Laforetite,http://www.mindat.org/min-7149.html
"With Zn, Fe, Cu, Ag, etc.",Cernyite,http://www.mindat.org/min-1210.html
"With Zn, Fe, Cu, Ag, etc.",Ferrokesterite,http://www.mindat.org/min-1522.html
"With Zn, Fe, Cu, Ag, etc.",Hocartite,http://www.mindat.org/min-1911.html
"With Zn, Fe, Cu, Ag, etc.",Idaite,http://www.mindat.org/min-2002.html
"With Zn, Fe, Cu, Ag, etc.",Kesterite,http://www.mindat.org/min-2189.html
"With Zn, Fe, Cu, Ag, etc.",Kuramite,http://www.mindat.org/min-2291.html
"With Zn, Fe, Cu, Ag, etc.",Mohite,http://www.mindat.org/min-2741.html
"With Zn, Fe, Cu, Ag, etc.",Pirquitasite,http://www.mindat.org/min-3219.html
"With Zn, Fe, Cu, Ag, etc.",Stannite,http://www.mindat.org/min-3747.html
"With Zn, Fe, Cu, Ag, etc.",Stannoidite,http://www.mindat.org/min-3748.html
"With Zn, Fe, Cu, Ag, etc.",Velikite,http://www.mindat.org/min-4168.html
"With Zn, Fe, Cu, Ag, etc.",UM2006-11-S:CuFeGeZn,http://www.mindat.org/min-27226.html
"With Zn, Fe, Cu, Ag, etc.",Chatkalite,http://www.mindat.org/min-973.html
"With Zn, Fe, Cu, Ag, etc.",Mawsonite,http://www.mindat.org/min-2604.html
"With Zn, Fe, Cu, Ag, etc.",Colusite,http://www.mindat.org/min-1113.html
"With Zn, Fe, Cu, Ag, etc.",Germanite,http://www.mindat.org/min-1681.html
"With Zn, Fe, Cu, Ag, etc.",Germanocolusite,http://www.mindat.org/min-1682.html
"With Zn, Fe, Cu, Ag, etc.",Nekrasovite,http://www.mindat.org/min-2873.html
"With Zn, Fe, Cu, Ag, etc.",Stibiocolusite,http://www.mindat.org/min-3779.html
"With Zn, Fe, Cu, Ag, etc.",Ovamboite,http://www.mindat.org/min-26581.html
"With Zn, Fe, Cu, Ag, etc.",Maikainite,http://www.mindat.org/min-29014.html
"With Zn, Fe, Cu, Ag, etc.",Hemusite,http://www.mindat.org/min-1862.html
"With Zn, Fe, Cu, Ag, etc.",Kiddcreekite,http://www.mindat.org/min-2201.html
"With Zn, Fe, Cu, Ag, etc.",Polkovicite,http://www.mindat.org/min-3254.html
"With Zn, Fe, Cu, Ag, etc.",Renierite,http://www.mindat.org/min-3389.html
"With Zn, Fe, Cu, Ag, etc.",Vinciennite,http://www.mindat.org/min-4185.html
"With Zn, Fe, Cu, Ag, etc.",Morozeviczite,http://www.mindat.org/min-7183.html
"With Zn, Fe, Cu, Ag, etc.",Catamarcaite,http://www.mindat.org/min-27224.html
"With Zn, Fe, Cu, Ag, etc.",Lautite,http://www.mindat.org/min-2348.html
"With Zn, Fe, Cu, Ag, etc.",Cadmoselite,http://www.mindat.org/min-844.html
