source,target,url
Sulfides and Sulfosalts,"Metal Sulfides, M: S > 1: 1 (mainly 2: 1)",http://www.mindat.org/strunz.php?a=2&b=B
"Metal Sulfides, M: S > 1: 1 (mainly 2: 1)","With Cu, Ag, Au",http://www.mindat.org/strunz.php?a=2&b=B&c=A
"With Cu, Ag, Au",Chalcocite,http://www.mindat.org/min-962.html
"With Cu, Ag, Au",Djurleite,http://www.mindat.org/min-1300.html
"With Cu, Ag, Au",Geerite,http://www.mindat.org/min-1666.html
"With Cu, Ag, Au",Roxbyite,http://www.mindat.org/min-3468.html
"With Cu, Ag, Au",Anilite,http://www.mindat.org/min-236.html
"With Cu, Ag, Au",Digenite,http://www.mindat.org/min-1291.html
"With Cu, Ag, Au",Bornite,http://www.mindat.org/min-727.html
"With Cu, Ag, Au",Bellidoite,http://www.mindat.org/min-611.html
"With Cu, Ag, Au",Berzelianite,http://www.mindat.org/min-645.html
"With Cu, Ag, Au",Athabascaite,http://www.mindat.org/min-408.html
"With Cu, Ag, Au",Umangite,http://www.mindat.org/min-4090.html
"With Cu, Ag, Au",Rickardite,http://www.mindat.org/min-3417.html
"With Cu, Ag, Au",Weissite,http://www.mindat.org/min-4263.html
"With Cu, Ag, Au",Acanthite,http://www.mindat.org/min-10.html
"With Cu, Ag, Au",Mckinstryite,http://www.mindat.org/min-2619.html
"With Cu, Ag, Au",Stromeyerite,http://www.mindat.org/min-3803.html
"With Cu, Ag, Au",UM2003-13-S:AgAuCu,http://www.mindat.org/min-28954.html
"With Cu, Ag, Au",Jalpaite,http://www.mindat.org/min-2069.html
"With Cu, Ag, Au",Selenojalpaite,http://www.mindat.org/min-27493.html
"With Cu, Ag, Au",Eucairite,http://www.mindat.org/min-1415.html
"With Cu, Ag, Au",Aguilarite,http://www.mindat.org/min-59.html
"With Cu, Ag, Au",Naumannite,http://www.mindat.org/min-2866.html
"With Cu, Ag, Au",Cervelleite,http://www.mindat.org/min-937.html
"With Cu, Ag, Au",Hessite,http://www.mindat.org/min-1881.html
"With Cu, Ag, Au",Chenguodaite,http://www.mindat.org/min-28953.html
"With Cu, Ag, Au",Henryite,http://www.mindat.org/min-1998.html
"With Cu, Ag, Au",Stutzite,http://www.mindat.org/min-3813.html
"With Cu, Ag, Au",Argyrodite,http://www.mindat.org/min-331.html
"With Cu, Ag, Au",Canfieldite,http://www.mindat.org/min-882.html
"With Cu, Ag, Au",Putzite,http://www.mindat.org/min-26707.html
"With Cu, Ag, Au",Fischesserite,http://www.mindat.org/min-1552.html
"With Cu, Ag, Au",Penzhinite,http://www.mindat.org/min-3156.html
"With Cu, Ag, Au",Petrovskaite,http://www.mindat.org/min-3177.html
"With Cu, Ag, Au",Petzite,http://www.mindat.org/min-3180.html
"With Cu, Ag, Au",Uytenbogaardtite,http://www.mindat.org/min-4127.html
"With Cu, Ag, Au",Bezsmertnovite,http://www.mindat.org/min-656.html
"With Cu, Ag, Au",Bilibinskite,http://www.mindat.org/min-672.html
"With Cu, Ag, Au",Bogdanovite,http://www.mindat.org/min-702.html
"Metal Sulfides, M: S > 1: 1 (mainly 2: 1)",With Ni,http://www.mindat.org/strunz.php?a=2&b=B&c=B
With Ni,Horomanite,http://www.mindat.org/min-32665.html
With Ni,Samaniite,http://www.mindat.org/min-32666.html
With Ni,UM2007-27-S:CuFeIrNiRh,http://www.mindat.org/min-40784.html
With Ni,Heazlewoodite,http://www.mindat.org/min-1839.html
With Ni,Oregonite,http://www.mindat.org/min-3015.html
With Ni,Vozhminite,http://www.mindat.org/min-4210.html
With Ni,UM2007-30-S:Fe,http://www.mindat.org/min-40790.html
With Ni,Arsenohauchecornite,http://www.mindat.org/min-301.html
