source,target,url
Oxides,"Metal: Oxygen = 2: 3,3: 5, and similar",http://www.mindat.org/strunz.php?a=4&b=C
"Metal: Oxygen = 2: 3,3: 5, and similar",With medium-sized cations,http://www.mindat.org/strunz.php?a=4&b=C&c=B
With medium-sized cations,Brizziite,http://www.mindat.org/min-778.html
With medium-sized cations,Corundum,http://www.mindat.org/min-1136.html
With medium-sized cations,Ecandrewsite,http://www.mindat.org/min-1346.html
With medium-sized cations,Eskolaite,http://www.mindat.org/min-1411.html
With medium-sized cations,Geikielite,http://www.mindat.org/min-1670.html
With medium-sized cations,Hematite,http://www.mindat.org/min-1856.html
With medium-sized cations,Ilmenite,http://www.mindat.org/min-2013.html
With medium-sized cations,Karelianite,http://www.mindat.org/min-2158.html
With medium-sized cations,Melanostibite,http://www.mindat.org/min-2631.html
With medium-sized cations,Pyrophanite,http://www.mindat.org/min-3322.html
With medium-sized cations,Akimotoite,http://www.mindat.org/min-6794.html
With medium-sized cations,Auroantimonate,http://www.mindat.org/min-6810.html
With medium-sized cations,Romanite,http://www.mindat.org/min-7273.html
With medium-sized cations,UM1998-11-O-AuHSb,http://www.mindat.org/min-8010.html
With medium-sized cations,Tistarite,http://www.mindat.org/min-38695.html
With medium-sized cations,Avicennite,http://www.mindat.org/min-437.html
With medium-sized cations,Bixbyite,http://www.mindat.org/min-691.html
With medium-sized cations,Armalcolite,http://www.mindat.org/min-341.html
With medium-sized cations,Pseudobrookite,http://www.mindat.org/min-3302.html
With medium-sized cations,Zincohogbomite-2N1S,http://www.mindat.org/min-7386.html
With medium-sized cations,Zincohogbomite-2N6S,http://www.mindat.org/min-11444.html
With medium-sized cations,Magnesiohogbomite-6N6S,http://www.mindat.org/min-11447.html
With medium-sized cations,Magnesiohogbomite-2N3S,http://www.mindat.org/min-11448.html
With medium-sized cations,Magnesiohogbomite-2N2S,http://www.mindat.org/min-11450.html
With medium-sized cations,Ferrohogbomite-6N12S,http://www.mindat.org/min-11452.html
With medium-sized cations,Pseudorutile,http://www.mindat.org/min-3296.html
With medium-sized cations,Kleberite,http://www.mindat.org/min-10804.html
With medium-sized cations,Berdesinskiite,http://www.mindat.org/min-630.html
With medium-sized cations,Oxyvanite,http://www.mindat.org/min-39006.html
With medium-sized cations,Olkhonskite,http://www.mindat.org/min-2985.html
With medium-sized cations,Schreyerite,http://www.mindat.org/min-3583.html
With medium-sized cations,Kamiokite,http://www.mindat.org/min-2147.html
With medium-sized cations,Nolanite,http://www.mindat.org/min-2922.html
With medium-sized cations,Rinmanite,http://www.mindat.org/min-10734.html
With medium-sized cations,Iseite,http://www.mindat.org/min-42884.html
With medium-sized cations,Majindeite,http://www.mindat.org/min-43599.html
With medium-sized cations,Claudetite,http://www.mindat.org/min-1060.html
With medium-sized cations,Stibioclaudetite,http://www.mindat.org/min-32285.html
With medium-sized cations,Arsenolite,http://www.mindat.org/min-294.html
With medium-sized cations,Senarmontite,http://www.mindat.org/min-3618.html
With medium-sized cations,Valentinite,http://www.mindat.org/min-4135.html
With medium-sized cations,Bismite,http://www.mindat.org/min-682.html
With medium-sized cations,Sphaerobismoite,http://www.mindat.org/min-7308.html
With medium-sized cations,Sillenite,http://www.mindat.org/min-3663.html
With medium-sized cations,Kyzylkumite,http://www.mindat.org/min-2304.html
With medium-sized cations,Tietaiyangite,http://www.mindat.org/min-7961.html
"Metal: Oxygen = 2: 3,3: 5, and similar",With large and medium-sized cations,http://www.mindat.org/strunz.php?a=4&b=C&c=C
With large and medium-sized cations,Chrombismite,http://www.mindat.org/min-6871.html
With large and medium-sized cations,Freudenbergite,http://www.mindat.org/min-1608.html
With large and medium-sized cations,Grossite,http://www.mindat.org/min-1754.html
With large and medium-sized cations,Chlormayenite,http://www.mindat.org/min-2606.html
With large and medium-sized cations,Yafsoanite,http://www.mindat.org/min-4349.html
With large and medium-sized cations,Latrappite,http://www.mindat.org/min-2337.html
With large and medium-sized cations,Lueshite,http://www.mindat.org/min-2455.html
With large and medium-sized cations,Natroniobite,http://www.mindat.org/min-2860.html
With large and medium-sized cations,Perovskite,http://www.mindat.org/min-3166.html
With large and medium-sized cations,Barioperovskite,http://www.mindat.org/min-31404.html
With large and medium-sized cations,Lakargiite,http://www.mindat.org/min-31993.html
With large and medium-sized cations,Megawite,http://www.mindat.org/min-39893.html
With large and medium-sized cations,Loparite-(Ce),http://www.mindat.org/min-2432.html
With large and medium-sized cations,Macedonite,http://www.mindat.org/min-2507.html
With large and medium-sized cations,Tausonite,http://www.mindat.org/min-3895.html
With large and medium-sized cations,Isolueshite,http://www.mindat.org/min-7114.html
With large and medium-sized cations,Crichtonite,http://www.mindat.org/min-1153.html
With large and medium-sized cations,Davidite-(Ce),http://www.mindat.org/min-1233.html
With large and medium-sized cations,Davidite-(La),http://www.mindat.org/min-1234.html
With large and medium-sized cations,Davidite-(Y),http://www.mindat.org/min-1235.html
With large and medium-sized cations,Landauite,http://www.mindat.org/min-2317.html
With large and medium-sized cations,Lindsleyite,http://www.mindat.org/min-2407.html
With large and medium-sized cations,Loveringite,http://www.mindat.org/min-2444.html
With large and medium-sized cations,Mathiasite,http://www.mindat.org/min-2591.html
With large and medium-sized cations,Senaite,http://www.mindat.org/min-3617.html
With large and medium-sized cations,Dessauite-(Y),http://www.mindat.org/min-6902.html
With large and medium-sized cations,Cleusonite,http://www.mindat.org/min-26262.html
With large and medium-sized cations,Grammaccioliite-(Y),http://www.mindat.org/min-26445.html
With large and medium-sized cations,Diaoyudaoite,http://www.mindat.org/min-1283.html
With large and medium-sized cations,Hawthorneite,http://www.mindat.org/min-1835.html
With large and medium-sized cations,Hibonite,http://www.mindat.org/min-1897.html
With large and medium-sized cations,Lindqvisitite,http://www.mindat.org/min-2406.html
With large and medium-sized cations,Magnetoplumbite,http://www.mindat.org/min-2539.html
With large and medium-sized cations,Plumboferrite,http://www.mindat.org/min-3246.html
With large and medium-sized cations,Yimengite,http://www.mindat.org/min-4361.html
With large and medium-sized cations,Haggertyite,http://www.mindat.org/min-6984.html
With large and medium-sized cations,Nezilovite,http://www.mindat.org/min-7190.html
With large and medium-sized cations,Batiferrite,http://www.mindat.org/min-10174.html
With large and medium-sized cations,Hibonite-(Fe),http://www.mindat.org/min-39561.html
With large and medium-sized cations,Barioferrite,http://www.mindat.org/min-39567.html
With large and medium-sized cations,Jeppeite,http://www.mindat.org/min-2089.html
With large and medium-sized cations,Zenzenite,http://www.mindat.org/min-4394.html
With large and medium-sized cations,Mengxianminite,http://www.mindat.org/min-2645.html
Oxides,Metal: Oxygen = 3:4 and similar,http://www.mindat.org/strunz.php?a=4&b=B
Metal: Oxygen = 3:4 and similar,With small and medium-sized cations,http://www.mindat.org/strunz.php?a=4&b=B&c=A
With small and medium-sized cations,Chrysoberyl,http://www.mindat.org/min-1039.html
With small and medium-sized cations,Manganostibite,http://www.mindat.org/min-2528.html
Metal: Oxygen = 3:4 and similar,With only medium-sized cations,http://www.mindat.org/strunz.php?a=4&b=B&c=B
With only medium-sized cations,Chromite,http://www.mindat.org/min-1036.html
With only medium-sized cations,Cochromite,http://www.mindat.org/min-1101.html
With only medium-sized cations,Coulsonite,http://www.mindat.org/min-1142.html
With only medium-sized cations,Cuprospinel,http://www.mindat.org/min-1192.html
With only medium-sized cations,Filipstadite,http://www.mindat.org/min-1548.html
With only medium-sized cations,Franklinite,http://www.mindat.org/min-1598.html
With only medium-sized cations,Gahnite,http://www.mindat.org/min-1632.html
With only medium-sized cations,Galaxite,http://www.mindat.org/min-1639.html
With only medium-sized cations,Hercynite,http://www.mindat.org/min-1875.html
With only medium-sized cations,Jacobsite,http://www.mindat.org/min-2061.html
With only medium-sized cations,Manganochromite,http://www.mindat.org/min-2475.html
With only medium-sized cations,Magnesiocoulsonite,http://www.mindat.org/min-2476.html
With only medium-sized cations,Magnesiochromite,http://www.mindat.org/min-2493.html
With only medium-sized cations,Magnesioferrite,http://www.mindat.org/min-2501.html
With only medium-sized cations,Magnetite,http://www.mindat.org/min-2538.html
With only medium-sized cations,Nichromite,http://www.mindat.org/min-2894.html
With only medium-sized cations,Qandilite,http://www.mindat.org/min-3331.html
With only medium-sized cations,Spinel,http://www.mindat.org/min-3729.html
With only medium-sized cations,Trevorite,http://www.mindat.org/min-4012.html
With only medium-sized cations,Ulvospinel,http://www.mindat.org/min-4089.html
With only medium-sized cations,Vuorelainenite,http://www.mindat.org/min-4217.html
With only medium-sized cations,Zincochromite,http://www.mindat.org/min-4412.html
With only medium-sized cations,Hausmannite,http://www.mindat.org/min-1832.html
With only medium-sized cations,Hetaerolite,http://www.mindat.org/min-1883.html
With only medium-sized cations,Hydrohetaerolite,http://www.mindat.org/min-1977.html
With only medium-sized cations,Iwakiite,http://www.mindat.org/min-2058.html
With only medium-sized cations,Maghemite,http://www.mindat.org/min-2533.html
With only medium-sized cations,Titanomaghemite,http://www.mindat.org/min-29152.html
With only medium-sized cations,Tegengrenite,http://www.mindat.org/min-7072.html
With only medium-sized cations,Xieite,http://www.mindat.org/min-35792.html
Metal: Oxygen = 3:4 and similar,With medium-sized and large cations,http://www.mindat.org/strunz.php?a=4&b=B&c=C
With medium-sized and large cations,Marokite,http://www.mindat.org/min-2578.html
With medium-sized and large cations,Dmitryivanovite,http://www.mindat.org/min-30909.html
Metal: Oxygen = 3:4 and similar,With only large cations,http://www.mindat.org/strunz.php?a=4&b=B&c=D
With only large cations,Minium,http://www.mindat.org/min-2721.html
