source,target,url,,
"Hydroxides with OH, without H2O; sheets of edge-sharing octahedra",Gibbsite,http://www.mindat.org/min-1689.html,,
"Hydroxides with OH, without H2O; sheets of edge-sharing octahedra",Nordstrandite,http://www.mindat.org/min-2930.html,,
"Hydroxides with OH, without H2O; sheets of edge-sharing octahedra",Bohmite,http://www.mindat.org/min-707.html,,
"Hydroxides with OH, without H2O; sheets of edge-sharing octahedra",Lepidocrocite,http://www.mindat.org/min-2379.html,,
"Hydroxides with OH, without H2O; sheets of edge-sharing octahedra",Crimaldiite,http://www.mindat.org/min-1750.html,,
"Hydroxides with OH, without H2O; sheets of edge-sharing octahedra",Heterogenite,http://www.mindat.org/min-1885.html,,
"Hydroxides with OH, without H2O; sheets of edge-sharing octahedra",Feitknechtite,http://www.mindat.org/min-1473.html,,
"Hydroxides with OH, without H2O; sheets of edge-sharing octahedra",Lithiophorite,http://www.mindat.org/min-2419.html,,
"Hydroxides with OH, without H2O; sheets of edge-sharing octahedra",Quenselite,http://www.mindat.org/min-3340.html,,
"Hydroxides with OH, without H2O; sheets of edge-sharing octahedra",Ferrihydrite,http://www.mindat.org/min-1493.html,,
"Hydroxides with OH, without H2O; sheets of edge-sharing octahedra",Ferroxyhyte,http://www.mindat.org/min-1484.html,,
"Hydroxides with OH, without H2O; sheets of edge-sharing octahedra",Vernadite,http://www.mindat.org/min-4171.html,,
"Hydroxides with OH, without H2O; sheets of edge-sharing octahedra",Quetzalcoatlite,http://www.mindat.org/min-3343.html,,
Hydroxides (without V or U),"Hydroxides with OH, without H2O; various polyhedra",http://www.mindat.org/strunz.php?a=4&b=F&c=F,,
"Hydroxides with OH, without H2O; various polyhedra",Hydroromarchite,http://www.mindat.org/min-1985.html,,
Hydroxides (without V or U),"Hydroxides with OH, without H2O; unclassified",http://www.mindat.org/strunz.php?a=4&b=F&c=G,,
"Hydroxides with OH, without H2O; unclassified",Janggunite,http://www.mindat.org/min-2073.html,,
"Hydroxides with OH, without H2O; unclassified",Cesarolite,http://www.mindat.org/min-939.html,,
"Hydroxides with OH, without H2O; unclassified",Kimrobinsonite,http://www.mindat.org/min-2207.html,,
Hydroxides (without V or U),Hydroxides with H2O +- (OH); insular octahedra,http://www.mindat.org/strunz.php?a=4&b=F&c=H,,
Hydroxides with H2O +- (OH); insular octahedra,Bottinoite,http://www.mindat.org/min-735.html,,
Hydroxides with H2O +- (OH); insular octahedra,Brandholzite,http://www.mindat.org/min-7046.html,,
Hydroxides (without V or U),Hydroxides with H2O +- (OH); corner-sharing octahedra,http://www.mindat.org/strunz.php?a=4&b=F&c=J,,
Hydroxides with H2O +- (OH); corner-sharing octahedra,Meymacite,http://www.mindat.org/min-2700.html,,
Hydroxides with H2O +- (OH); corner-sharing octahedra,Sidwillite,http://www.mindat.org/min-3654.html,,
Hydroxides with H2O +- (OH); corner-sharing octahedra,Tungstite,http://www.mindat.org/min-4054.html,,
Hydroxides with H2O +- (OH); corner-sharing octahedra,Hydrotungstite,http://www.mindat.org/min-1988.html,,
Hydroxides with H2O +- (OH); corner-sharing octahedra,Ilsemannite,http://www.mindat.org/min-2015.html,,
Hydroxides with H2O +- (OH); corner-sharing octahedra,Parabariomicrolite,http://www.mindat.org/min-3079.html,,
Hydroxides (without V or U),Hydroxides with H2O +- (OH); chains of edge-sharing octahedra,http://www.mindat.org/strunz.php?a=4&b=F&c=K,,
Hydroxides with H2O +- (OH); chains of edge-sharing octahedra,Bamfordite,http://www.mindat.org/min-6815.html,,
