source,target,url
Oxides,Metal: Oxygen = 2:1 and 1:1,http://www.mindat.org/strunz.php?a=4&b=A
Metal: Oxygen = 2:1 and 1:1,Cation:Anion (M:O) = 2:1 (and 1.8:1),http://www.mindat.org/strunz.php?a=4&b=A&c=A
Cation:Anion (M:O) = 2:1 (and 1.8:1),Ice,http://www.mindat.org/min-2001.html
Cation:Anion (M:O) = 2:1 (and 1.8:1),Cuprite,http://www.mindat.org/min-1172.html
Cation:Anion (M:O) = 2:1 (and 1.8:1),Paramelaconite,http://www.mindat.org/min-3098.html
Metal: Oxygen = 2:1 and 1:1,M:O = 1:1 (and up to 1:1.25); with small to medium-sized cations,http://www.mindat.org/strunz.php?a=4&b=A&c=B
M:O = 1:1 (and up to 1:1.25); with small to medium-sized cations,Crednerite,http://www.mindat.org/min-1150.html
M:O = 1:1 (and up to 1:1.25); with small to medium-sized cations,Tenorite,http://www.mindat.org/min-3912.html
M:O = 1:1 (and up to 1:1.25); with small to medium-sized cations,Delafossite,http://www.mindat.org/min-1248.html
M:O = 1:1 (and up to 1:1.25); with small to medium-sized cations,Mcconnellite,http://www.mindat.org/min-2612.html
M:O = 1:1 (and up to 1:1.25); with small to medium-sized cations,Bromellite,http://www.mindat.org/min-784.html
M:O = 1:1 (and up to 1:1.25); with small to medium-sized cations,Zincite,http://www.mindat.org/min-4410.html
M:O = 1:1 (and up to 1:1.25); with small to medium-sized cations,Bunsenite,http://www.mindat.org/min-801.html
M:O = 1:1 (and up to 1:1.25); with small to medium-sized cations,Lime,http://www.mindat.org/min-2401.html
M:O = 1:1 (and up to 1:1.25); with small to medium-sized cations,Manganosite,http://www.mindat.org/min-2503.html
M:O = 1:1 (and up to 1:1.25); with small to medium-sized cations,Monteponite,http://www.mindat.org/min-2764.html
M:O = 1:1 (and up to 1:1.25); with small to medium-sized cations,Periclase,http://www.mindat.org/min-3161.html
M:O = 1:1 (and up to 1:1.25); with small to medium-sized cations,Wustite,http://www.mindat.org/min-4316.html
M:O = 1:1 (and up to 1:1.25); with small to medium-sized cations,Palladinite,http://www.mindat.org/min-10660.html
Metal: Oxygen = 2:1 and 1:1,M:O = 1:1 (and up to 1:1.25); with large cations (+- smaller ones),http://www.mindat.org/strunz.php?a=4&b=A&c=C
M:O = 1:1 (and up to 1:1.25); with large cations (+- smaller ones),Swedenborgite,http://www.mindat.org/min-3845.html
M:O = 1:1 (and up to 1:1.25); with large cations (+- smaller ones),Brownmillerite,http://www.mindat.org/min-790.html
M:O = 1:1 (and up to 1:1.25); with large cations (+- smaller ones),Srebrodolskite,http://www.mindat.org/min-3736.html
M:O = 1:1 (and up to 1:1.25); with large cations (+- smaller ones),Montroydite,http://www.mindat.org/min-2771.html
M:O = 1:1 (and up to 1:1.25); with large cations (+- smaller ones),Litharge,http://www.mindat.org/min-2466.html
M:O = 1:1 (and up to 1:1.25); with large cations (+- smaller ones),Romarchite,http://www.mindat.org/min-3442.html
M:O = 1:1 (and up to 1:1.25); with large cations (+- smaller ones),Massicot,http://www.mindat.org/min-2587.html
Oxides,Metal: Oxygen = 1:2 and similar,http://www.mindat.org/strunz.php?a=4&b=D
Metal: Oxygen = 1:2 and similar,With small cations: Silica family,http://www.mindat.org/strunz.php?a=4&b=D&c=A
With small cations: Silica family,Quartz,http://www.mindat.org/min-3337.html
With small cations: Silica family,Opal,http://www.mindat.org/min-3004.html
With small cations: Silica family,Tridymite,http://www.mindat.org/min-4015.html
With small cations: Silica family,Cristobalite,http://www.mindat.org/min-1155.html
With small cations: Silica family,Moganite,http://www.mindat.org/min-2739.html
With small cations: Silica family,Melanophlogite,http://www.mindat.org/min-2630.html
With small cations: Silica family,Lechatelierite,http://www.mindat.org/min-2363.html
With small cations: Silica family,Coesite,http://www.mindat.org/min-1104.html
With small cations: Silica family,Stishovite,http://www.mindat.org/min-3790.html
With small cations: Silica family,Keatite,http://www.mindat.org/min-2173.html
With small cations: Silica family,Seifertite,http://www.mindat.org/min-26715.html
Metal: Oxygen = 1:2 and similar,With medium-sized cations; chains of edge-sharing octahedra,http://www.mindat.org/strunz.php?a=4&b=D&c=B
With medium-sized cations; chains of edge-sharing octahedra,Argutite,http://www.mindat.org/min-330.html
With medium-sized cations; chains of edge-sharing octahedra,Cassiterite,http://www.mindat.org/min-917.html
With medium-sized cations; chains of edge-sharing octahedra,Plattnerite,http://www.mindat.org/min-3237.html
With medium-sized cations; chains of edge-sharing octahedra,Pyrolusite,http://www.mindat.org/min-3318.html
With medium-sized cations; chains of edge-sharing octahedra,Rutile,http://www.mindat.org/min-3486.html
With medium-sized cations; chains of edge-sharing octahedra,Tripuhyite,http://www.mindat.org/min-4024.html
With medium-sized cations; chains of edge-sharing octahedra,Tugarinovite,http://www.mindat.org/min-4043.html
With medium-sized cations; chains of edge-sharing octahedra,Varlamoffite,http://www.mindat.org/min-4157.html
With medium-sized cations; chains of edge-sharing octahedra,Bystromite,http://www.mindat.org/min-814.html
With medium-sized cations; chains of edge-sharing octahedra,Tapiolite-(Fe),http://www.mindat.org/min-1531.html
With medium-sized cations; chains of edge-sharing octahedra,Tapiolite-(Mn),http://www.mindat.org/min-2523.html
With medium-sized cations; chains of edge-sharing octahedra,Ordonezite,http://www.mindat.org/min-3014.html
With medium-sized cations; chains of edge-sharing octahedra,Akhtenskite,http://www.mindat.org/min-71.html
With medium-sized cations; chains of edge-sharing octahedra,Nsutite,http://www.mindat.org/min-2940.html
With medium-sized cations; chains of edge-sharing octahedra,Paramontroseite,http://www.mindat.org/min-3100.html
With medium-sized cations; chains of edge-sharing octahedra,Ramsdellite,http://www.mindat.org/min-3359.html
With medium-sized cations; chains of edge-sharing octahedra,Scrutinyite,http://www.mindat.org/min-3598.html
With medium-sized cations; chains of edge-sharing octahedra,Ishikawaite,http://www.mindat.org/min-2050.html
With medium-sized cations; chains of edge-sharing octahedra,Ixiolite,http://www.mindat.org/min-2059.html
With medium-sized cations; chains of edge-sharing octahedra,Samarskite-(Y),http://www.mindat.org/min-3512.html
With medium-sized cations; chains of edge-sharing octahedra,Srilankite,http://www.mindat.org/min-3737.html
With medium-sized cations; chains of edge-sharing octahedra,Yttrocolumbite-(Y),http://www.mindat.org/min-4369.html
With medium-sized cations; chains of edge-sharing octahedra,Calciosamarskite,http://www.mindat.org/min-7962.html
With medium-sized cations; chains of edge-sharing octahedra,Samarskite-(Yb),http://www.mindat.org/min-27449.html
With medium-sized cations; chains of edge-sharing octahedra,Ferberite,http://www.mindat.org/min-1476.html
With medium-sized cations; chains of edge-sharing octahedra,Hubnerite,http://www.mindat.org/min-1940.html
With medium-sized cations; chains of edge-sharing octahedra,Sanmartinite,http://www.mindat.org/min-3523.html
With medium-sized cations; chains of edge-sharing octahedra,Krasnoselskite,http://www.mindat.org/min-7144.html
With medium-sized cations; chains of edge-sharing octahedra,Heftetjernite,http://www.mindat.org/min-38788.html
With medium-sized cations; chains of edge-sharing octahedra,Huanzalaite,http://www.mindat.org/min-39553.html
With medium-sized cations; chains of edge-sharing octahedra,Columbite-(Fe),http://www.mindat.org/min-1514.html
With medium-sized cations; chains of edge-sharing octahedra,Tantalite-(Fe),http://www.mindat.org/min-1530.html
With medium-sized cations; chains of edge-sharing octahedra,Columbite-(Mn),http://www.mindat.org/min-2520.html
With medium-sized cations; chains of edge-sharing octahedra,Tantalite-(Mn),http://www.mindat.org/min-2522.html
With medium-sized cations; chains of edge-sharing octahedra,Columbite-(Mg),http://www.mindat.org/min-2541.html
With medium-sized cations; chains of edge-sharing octahedra,Qitianlingite,http://www.mindat.org/min-3334.html
With medium-sized cations; chains of edge-sharing octahedra,Magnocolumbite,http://www.mindat.org/min-10060.html
With medium-sized cations; chains of edge-sharing octahedra,Tantalite-(Mg),http://www.mindat.org/min-11465.html
With medium-sized cations; chains of edge-sharing octahedra,Ferrowodginite,http://www.mindat.org/min-1535.html
With medium-sized cations; chains of edge-sharing octahedra,Lithiotantite,http://www.mindat.org/min-2390.html
With medium-sized cations; chains of edge-sharing octahedra,Lithiowodginite,http://www.mindat.org/min-2392.html
With medium-sized cations; chains of edge-sharing octahedra,Titanowodginite,http://www.mindat.org/min-3979.html
With medium-sized cations; chains of edge-sharing octahedra,Wodginite,http://www.mindat.org/min-4302.html
With medium-sized cations; chains of edge-sharing octahedra,Ferrotitanwodginite,http://www.mindat.org/min-6944.html
With medium-sized cations; chains of edge-sharing octahedra,Wolframwodginite,http://www.mindat.org/min-7983.html
