source,target,url
PGE-metal alloys,Ferronickelplatinum,http://www.mindat.org/min-1523.html
PGE-metal alloys,Tetraferroplatinum,http://www.mindat.org/min-3923.html
PGE-metal alloys,Tulameenite,http://www.mindat.org/min-4046.html
PGE-metal alloys,Hongshiite,http://www.mindat.org/min-1929.html
PGE-metal alloys,Skaergaardite,http://www.mindat.org/min-26980.html
PGE-metal alloys,Yixunite,http://www.mindat.org/min-7378.html
PGE-metal alloys,Damiaoite,http://www.mindat.org/min-6897.html
PGE-metal alloys,Niggliite,http://www.mindat.org/min-2904.html
PGE-metal alloys,Bortnikovite,http://www.mindat.org/min-30763.html
PGE-metal alloys,Nielsenite,http://www.mindat.org/min-26983.html
Elements,"Metallic Carbides, Silicides, Nitrides, and Phosphides",http://www.mindat.org/strunz.php?a=1&b=B
"Metallic Carbides, Silicides, Nitrides, and Phosphides",Carbides,http://www.mindat.org/strunz.php?a=1&b=B&c=A
Carbides,Cohenite,http://www.mindat.org/min-1107.html
Carbides,Haxonite,http://www.mindat.org/min-1836.html
Carbides,Isovite,http://www.mindat.org/min-7115.html
Carbides,Tongbaite,http://www.mindat.org/min-3994.html
Carbides,Khamrabaevite,http://www.mindat.org/min-2194.html
Carbides,Niobocarbide,http://www.mindat.org/min-7196.html
Carbides,Tantalcarbide,http://www.mindat.org/min-7327.html
Carbides,Qusongite,http://www.mindat.org/min-35898.html
Carbides,Yarlongite,http://www.mindat.org/min-35899.html
"Metallic Carbides, Silicides, Nitrides, and Phosphides",Silicides,http://www.mindat.org/strunz.php?a=1&b=B&c=B
Silicides,Zangboite,http://www.mindat.org/min-35900.html
Silicides,Suessite,http://www.mindat.org/min-3821.html
Silicides,Mavlyanovite,http://www.mindat.org/min-38826.html
Silicides,UM2001-18-Si:CuPtSn,http://www.mindat.org/min-10323.html
Silicides,Perryite,http://www.mindat.org/min-3170.html
Silicides,Fersilicite,http://www.mindat.org/min-6945.html
Silicides,Naquite,http://www.mindat.org/min-40148.html
Silicides,Ferdisilicite,http://www.mindat.org/min-6924.html
Silicides,Linzhiite,http://www.mindat.org/min-40150.html
Silicides,Luobusaite,http://www.mindat.org/min-7677.html
Silicides,Gupeiite,http://www.mindat.org/min-1780.html
Silicides,Hapkeite,http://www.mindat.org/min-26419.html
Silicides,Xifengite,http://www.mindat.org/min-4335.html
"Metallic Carbides, Silicides, Nitrides, and Phosphides",Nitrides,http://www.mindat.org/strunz.php?a=1&b=B&c=C
Nitrides,UM2007-16-N:Ti,http://www.mindat.org/min-40780.html
Nitrides,Roaldite,http://www.mindat.org/min-3430.html
Nitrides,Siderazot,http://www.mindat.org/min-3646.html
Nitrides,Carlsbergite,http://www.mindat.org/min-904.html
Nitrides,Osbornite,http://www.mindat.org/min-3035.html
